iter	Passed	Remaining
0	27	5459
1	51	5135
2	78	5129
3	100	4914
4	123	4824
5	147	4774
6	175	4829
7	200	4801
8	226	4816
9	264	5019
10	405	6960
11	446	6991
12	490	7057
13	528	7021
14	561	6927
15	598	6883
16	645	6944
17	704	7123
18	745	7099
19	785	7072
20	826	7041
21	860	6960
22	918	7069
23	994	7292
24	1071	7502
25	1114	7456
26	1149	7362
27	1184	7277
28	1212	7151
29	1236	7007
30	1264	6891
31	1292	6785
32	1318	6672
33	1340	6542
34	1370	6461
35	1406	6408
36	1437	6333
37	1462	6233
38	1485	6131
39	1511	6045
40	1534	5951
41	1557	5859
42	1581	5774
43	1604	5689
44	1650	5685
45	1700	5691
46	1724	5613
47	1749	5541
48	1774	5469
49	1800	5402
50	1861	5437
51	1901	5411
52	2039	5656
53	2188	5915
54	2233	5887
55	2279	5862
56	2314	5805
57	2358	5775
58	2465	5892
59	2507	5851
60	2537	5782
61	2563	5705
62	2590	5632
63	2621	5569
64	2646	5497
65	2675	5431
66	2703	5366
67	2727	5295
68	2756	5233
69	2849	5292
70	2873	5219
71	2899	5154
72	2925	5090
73	2953	5028
74	2984	4974
75	3014	4917
76	3040	4856
77	3065	4795
78	3088	4730
79	3114	4671
80	3138	4610
81	3163	4551
82	3192	4500
83	3219	4446
84	3246	4392
85	3273	4339
86	3300	4287
87	3332	4241
88	3363	4194
89	3394	4148
90	3471	4158
91	3512	4123
92	3543	4076
93	3572	4028
94	3599	3978
95	3630	3932
96	3662	3888
97	3691	3842
98	3721	3796
99	3747	3747
100	3776	3701
101	3803	3654
102	3830	3606
103	3858	3561
104	3997	3616
105	4039	3582
106	4072	3539
107	4105	3496
108	4137	3454
109	4169	3411
110	4198	3366
111	4225	3320
112	4258	3278
113	4292	3237
114	4383	3239
115	4425	3204
116	4465	3167
117	4504	3130
118	4557	3101
119	4587	3058
120	4616	3013
121	4645	2970
122	4677	2928
123	4704	2883
124	4738	2843
125	4804	2821
126	4858	2792
127	4912	2763
128	4952	2725
129	5011	2698
130	5045	2657
131	5111	2633
132	5160	2599
133	5214	2568
134	5249	2527
135	5289	2489
136	5324	2448
137	5361	2408
138	5395	2367
139	5433	2328
140	5512	2306
141	5568	2274
142	5601	2232
143	5632	2190
144	5662	2147
145	5748	2126
146	5800	2091
147	5842	2052
148	5873	2010
149	5984	1994
150	6065	1968
151	6123	1933
152	6168	1894
153	6212	1855
154	6265	1818
155	6316	1781
156	6389	1749
157	6430	1709
158	6465	1667
159	6496	1624
160	6527	1581
161	6561	1539
162	6603	1498
163	6639	1457
164	6738	1429
165	6929	1419
166	7097	1402
167	7181	1367
168	7230	1326
169	7275	1283
170	7312	1240
171	7355	1197
172	7380	1151
173	7414	1107
174	7502	1071
175	7553	1029
176	7575	984
177	7599	939
178	7623	894
179	7652	850
180	7678	806
181	7704	761
182	7726	717
183	7752	674
184	7774	630
185	7797	586
186	7820	543
187	7848	500
188	7874	458
189	7901	415
190	7923	373
191	7947	331
192	7970	289
193	8000	247
194	8039	206
195	8084	164
196	8170	124
197	8196	82
198	8217	41
199	8242	0
